name,country,region,sub_region,latitude,longitude,elevation_m,coast_distance_km,avg_temp_summer_c,avg_temp_winter_c,annual_rainfall_mm,sunny_days_per_year,hiking_trails_count,unesco_sites_within_100km,museum_count,national_parks_within_100km,theme_parks_count,cost_of_living_index,avg_3star_hotel_usd,annual_visitors_millions,visitors_per_capita,label
Rome,Italy,Europe,Lazio,42.784,12.154,111.0,189.4,26.1,5.9,594.0,225.0,11.0,6,94.0,0,1,80.0,135.0,9.901,0.89,Culture
Florence,Italy,Europe,Tuscany,43.062,12.287,163.0,98.3,23.2,9.1,1237.0,206.0,26.0,0,26.0,0,0,64.1,142.0,3.011,1.5,Culture
Venice,Italy,Europe,Veneto,40.806,9.804,10.0,30.5,25.1,8.1,1033.0,221.0,26.0,0,18.0,1,0,70.5,117.0,2.692,6.08,Culture
Milan,Italy,Europe,Lombardy,41.774,10.646,123.0,82.1,26.5,9.2,788.0,213.0,31.0,3,34.0,1,0,61.4,123.0,3.338,4.55,Culture
Naples,Italy,Europe,Campania,39.882,12.52,92.0,52.1,24.9,7.3,699.0,210.0,12.0,2,2.0,0,0,69.0,118.0,3.548,1.84,Culture
Bologna,Italy,Europe,Emilia-Romagna,42.52,12.84,0,141.7,28.7,10.9,842.0,237.0,24.0,2,14.0,1,0,65.9,103.0,5.213,6.21,Culture
Turin,Italy,Europe,Piedmont,42.059,12.495,258.0,88.6,23.1,5.0,730.0,226.0,36.0,2,22.0,0,0,62.8,137.0,5.675,2.89,Culture
Verona,Italy,Europe,Veneto,43.074,13.982,90.0,188.3,25.2,9.1,490.0,201.0,21.0,2,24.0,2,1,65.6,130.0,4.856,6.84,Culture
Pisa,Italy,Europe,Tuscany,41.148,18.544,69.0,139.0,24.5,8.3,980.0,198.0,34.0,1,20.0,0,0,78.0,149.0,1.605,0.96,Culture
Siena,Italy,Europe,Tuscany,43.178,13.539,216.0,128.7,24.0,7.2,613.0,213.0,27.0,2,12.0,0,0,80.3,159.0,2.414,1.16,Culture
Lucca,Italy,Europe,Tuscany,43.008,13.799,41.0,84.1,26.1,7.7,1267.0,179.0,29.0,2,49.0,0,1,82.2,151.0,2.539,3.45,Culture
Cinque Terre,Italy,Europe,Liguria,42.576,12.905,0,81.0,28.4,8.4,726.0,173.0,34.0,3,8.0,0,0,60.2,133.0,1.02,1.08,Culture
Portofino,Italy,Europe,Liguria,44.623,13.205,206.0,0.2,23.7,5.9,973.0,216.0,17.0,3,0,2,0,83.0,138.0,7.552,5.49,Luxury
Amalfi,Italy,Europe,Campania,43.93,11.961,108.0,111.0,24.4,6.7,779.0,199.0,38.0,0,0,0,0,65.6,117.0,6.711,3.18,Luxury
Positano,Italy,Europe,Campania,42.4,13.357,183.0,160.7,23.2,9.0,881.0,241.0,23.0,1,10.0,0,0,66.7,145.0,1.681,2.3,Luxury
Capri,Italy,Europe,Campania,41.739,15.046,177.0,77.8,23.7,7.3,871.0,189.0,8.0,0,18.0,1,0,68.7,124.0,0.86,0.38,Luxury
Sorrento,Italy,Europe,Campania,42.691,11.441,195.0,147.1,25.0,6.3,920.0,184.0,40.0,3,27.0,0,0,65.9,105.0,4.253,2.31,Culture
Palermo,Italy,Europe,Sicily,43.985,11.839,195.0,60.7,26.6,5.9,953.0,236.0,15.0,1,13.0,0,0,67.5,159.0,5.63,7.46,Culture
Taormina,Italy,Europe,Sicily,43.677,10.47,72.0,72.3,27.5,8.5,916.0,194.0,40.0,3,18.0,1,0,81.3,142.0,4.758,5.7,Culture
Catania,Italy,Europe,Sicily,39.24,9.72,225.0,99.5,24.9,6.9,731.0,218.0,22.0,3,21.0,1,0,78.0,128.0,3.662,2.18,Culture
Cagliari,Italy,Europe,Sardinia,42.624,13.074,83.0,92.2,24.5,8.8,689.0,206.0,31.0,1,14.0,0,0,73.4,123.0,1.744,1.19,Culture
Costa Smeralda,Italy,Europe,Sardinia,40.639,14.608,102.0,200.7,26.1,6.3,811.0,186.0,28.0,2,25.0,0,0,54.3,115.0,0.806,0.36,Luxury
Lake Como,Italy,Europe,Lombardy,43.123,14.217,684.0,127.2,24.9,4.8,688.0,192.0,5.0,2,24.0,1,0,62.6,119.0,1.12,0.95,Luxury
Lake Garda,Italy,Europe,Veneto,40.428,14.761,511.0,96.1,25.4,4.7,1215.0,181.0,42.0,2,30.0,1,0,72.0,118.0,3.059,1.42,Relaxation
Dolomites,Italy,Europe,Trentino,42.932,10.232,1837.0,159.1,12.7,-10.9,944.0,176.0,78.0,2,4.0,2,0,106.3,202.0,1.462,1.27,Adventure
Cortina d'Ampezzo,Italy,Europe,Veneto,43.579,11.41,1581.0,346.5,16.9,-9.3,1509.0,181.0,78.0,4,1.0,2,0,90.0,199.0,2.321,1.28,Luxury
Assisi,Italy,Europe,Umbria,43.987,8.436,56.0,131.7,25.7,5.9,1055.0,218.0,7.0,3,39.0,2,0,60.5,124.0,3.455,6.01,Culture
Perugia,Italy,Europe,Umbria,42.532,12.653,80.0,95.2,26.0,7.6,742.0,210.0,4.0,1,21.0,2,0,77.7,148.0,5.295,14.0,Culture
Matera,Italy,Europe,Basilicata,44.109,12.792,179.0,74.9,23.4,6.1,913.0,228.0,19.0,1,12.0,0,0,64.8,112.0,5.972,4.02,Culture
Lecce,Italy,Europe,Apulia,44.219,11.44,170.0,156.2,24.6,7.4,794.0,205.0,14.0,2,25.0,2,0,58.4,115.0,3.15,3.15,Culture
Bari,Italy,Europe,Apulia,44.633,9.486,280.0,166.2,26.1,7.3,676.0,185.0,29.0,3,18.0,2,0,74.6,135.0,1.588,1.98,Culture
Genoa,Italy,Europe,Liguria,44.112,11.854,0,151.1,26.6,7.3,772.0,195.0,23.0,2,16.0,1,1,74.7,138.0,5.025,10.65,Culture
Paris,France,Europe,Île-de-France,46.175,0.225,126.0,168.6,19.3,1.5,917.0,188.0,10.0,10,89.0,1,1,91.5,156.0,22.112,1.58,Culture
Nice,France,Europe,Côte d'Azur,46.35,4.009,158.0,47.5,21.5,1.5,839.0,184.0,33.0,1,19.0,2,0,69.0,177.0,2.681,2.53,Luxury
Cannes,France,Europe,Côte d'Azur,46.297,1.495,146.0,87.2,21.2,6.1,821.0,180.0,22.0,0,20.0,1,0,66.5,141.0,5.516,4.26,Luxury
Saint-Tropez,France,Europe,Côte d'Azur,48.389,3.765,163.0,149.5,21.2,2.4,1388.0,198.0,39.0,2,23.0,2,0,77.5,163.0,4.469,2.64,Luxury
Monaco-adjacent Menton,France,Europe,Côte d'Azur,50.038,4.376,230.0,163.9,21.7,3.4,966.0,181.0,40.0,0,12.0,1,0,69.5,133.0,2.602,1.32,Luxury
Marseille,France,Europe,Provence,48.845,0.88,37.0,234.7,20.5,3.1,992.0,161.0,10.0,2,26.0,1,0,80.2,177.0,3.421,3.22,Culture
Avignon,France,Europe,Provence,45.522,3.417,37.0,157.5,21.4,6.6,731.0,177.0,26.0,1,15.0,2,1,74.0,167.0,0.981,0.46,Culture
Aix-en-Provence,France,Europe,Provence,44.359,3.035,164.0,154.6,20.6,2.8,759.0,191.0,32.0,1,14.0,1,0,64.4,143.0,4.657,10.9,Culture
Lyon,France,Europe,Auvergne-Rhône-Alpes,47.473,3.302,223.0,218.9,21.9,3.6,893.0,191.0,19.0,0,11.0,1,0,76.9,166.0,8.282,5.99,Culture
Chamonix,France,Europe,French Alps,46.256,1.536,2765.0,274.8,4.1,-17.1,987.0,148.0,145.0,4,6.0,3,1,112.2,250.0,3.196,2.15,Adventure
Annecy,France,Europe,French Alps,48.765,0.324,1002.0,141.0,15.7,-3.5,743.0,156.0,87.0,3,4.0,3,0,58.6,125.0,2.806,1.47,Adventure
Grenoble,France,Europe,French Alps,47.581,0.871,1478.0,186.4,12.5,-6.1,1198.0,143.0,98.0,2,3.0,3,0,74.9,138.0,4.666,1.74,Adventure
Bordeaux,France,Europe,Nouvelle-Aquitaine,47.953,1.951,121.0,135.5,19.2,2.6,1023.0,169.0,16.0,2,21.0,1,1,121.3,246.0,3.278,6.17,Culture
Biarritz,France,Europe,Nouvelle-Aquitaine,48.587,1.08,226.0,142.7,22.1,2.9,1042.0,169.0,14.0,1,19.0,1,1,75.4,163.0,2.664,1.34,Luxury
Toulouse,France,Europe,Occitanie,44.232,3.004,106.0,203.1,21.0,5.7,1022.0,194.0,11.0,0,16.0,0,0,67.5,132.0,4.251,2.97,Culture
Carcassonne,France,Europe,Occitanie,45.956,0.363,0,127.0,21.6,6.8,1249.0,196.0,35.0,3,21.0,1,0,75.7,141.0,3.607,3.45,Culture
Strasbourg,France,Europe,Alsace,47.413,2.368,104.0,210.9,21.2,4.4,1086.0,161.0,49.0,2,19.0,1,0,67.1,131.0,5.91,2.73,Culture
